"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US13001","Appling County, Georgia","6650","301","8.9","2.6","7.4","2.9","21.9","4.0","10.0","2.4","11.8","3.0","16.0","2.7","9.3","2.5","9.9","2.5","3.1","1.5","1.8","1.0","37924","4761","54271","4685","34.3","(X)","(X)","(X)","(X)","(X)","4866","308","5.8","2.8","7.4","3.8","16.2","4.1","8.7","2.7","15.3","3.6","16.5","3.3","11.8","3.2","12.0","3.1","4.2","2.0","2.1","1.2","48079","3283","62264","5817","(X)","(X)","33.6","(X)","(X)","(X)","3729","304","3.3","2.2","7.4","4.1","13.8","4.8","8.7","3.2","14.2","4.3","16.7","4.1","14.4","4.1","14.2","3.8","4.6","2.2","2.6","1.5","51846","8235","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1784","249","18.2","5.7","11.9","5.2","35.0","8.8","12.7","5.5","6.3","3.4","8.0","4.4","3.0","2.3","3.6","3.2","0.2","0.3","1.1","1.7","19473","2595","29338","5700","(X)","(X)","(X)","(X)","30.5","(X)"
"0500000US13003","Atkinson County, Georgia","2953","126","7.7","2.8","5.4","2.4","15.8","3.4","20.7","4.2","12.8","3.4","16.6","3.5","8.3","3.0","6.4","2.6","4.3","2.1","2.1","1.5","35703","5493","55007","6791","43.1","(X)","(X)","(X)","(X)","(X)","2054","158","4.8","2.7","1.9","1.5","13.0","4.4","22.0","5.4","12.1","3.7","19.9","4.8","8.4","4.0","9.0","3.6","6.2","3.0","2.7","2.1","46086","5086","64289","9346","(X)","(X)","44.8","(X)","(X)","(X)","1525","179","0.0","2.9","1.7","1.7","10.4","5.0","23.2","7.2","13.8","4.7","17.1","5.9","10.2","5.3","11.9","4.9","8.0","3.9","3.6","2.8","50475","5717","N","N","(X)","(X)","(X)","(X)","(X)","(X)","899","129","15.2","6.9","13.9","6.7","24.2","6.6","19.1","7.0","13.9","7.0","8.3","5.4","4.6","3.3","0.0","4.9","0.0","4.9","0.7","1.0","23306","4292","30099","4850","(X)","(X)","(X)","(X)","36.9","(X)"
"0500000US13005","Bacon County, Georgia","3743","174","11.9","3.5","7.6","2.8","15.0","4.0","12.9","4.0","13.3","4.1","15.0","4.3","10.2","3.5","11.8","3.7","1.8","1.6","0.6","0.7","36692","3774","52162","5705","43.9","(X)","(X)","(X)","(X)","(X)","2436","220","5.9","2.9","2.1","1.8","16.5","5.3","15.6","4.8","10.8","3.4","15.1","4.3","14.1","4.7","16.8","5.2","2.2","2.6","0.9","1.1","48190","13138","62529","8365","(X)","(X)","39.7","(X)","(X)","(X)","1743","215","3.0","3.2","1.4","1.6","10.8","5.3","11.0","5.5","9.7","4.1","18.1","6.2","19.1","6.2","22.9","6.9","3.0","3.6","0.9","1.2","68659","11985","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1307","185","23.4","7.8","18.9","7.7","14.1","7.6","9.9","6.7","17.4","9.7","11.2","6.3","2.9","3.0","1.0","1.2","1.1","1.6","0.0","3.4","20313","7248","28966","4702","(X)","(X)","(X)","(X)","50.7","(X)"
"0500000US13007","Baker County, Georgia","1448","184","18.0","7.3","3.6","2.3","15.7","8.0","13.9","5.3","10.8","4.1","17.1","6.3","2.5","2.2","10.1","5.9","7.9","5.0","0.5","0.8","34034","9879","53841","9227","63.5","(X)","(X)","(X)","(X)","(X)","852","114","8.2","5.6","2.5","2.7","14.7","12.7","12.9","5.4","12.1","6.4","16.1","7.2","2.9","3.1","16.3","9.2","13.5","8.3","0.8","1.4","46429","30065","71624","13891","(X)","(X)","68.4","(X)","(X)","(X)","588","119","0.0","7.4","0.9","1.7","14.6","12.5","16.5","7.5","12.4","8.1","16.7","8.3","4.3","4.4","22.3","13.5","11.2","7.3","1.2","2.1","64063","23861","N","N","(X)","(X)","(X)","(X)","(X)","(X)","596","168","37.6","13.7","5.2","4.3","23.8","11.5","10.1","6.7","8.4","5.4","13.1","8.6","1.8","2.2","0.0","7.3","0.0","7.3","0.0","7.3","18654","6608","23353","4961","(X)","(X)","(X)","(X)","56.0","(X)"
"0500000US13009","Baldwin County, Georgia","16698","604","11.0","1.9","6.9","1.3","12.7","2.0","9.7","1.8","13.1","2.4","16.1","2.0","14.1","2.6","11.0","2.3","3.2","1.1","2.3","1.1","46250","4707","68604","14372","42.9","(X)","(X)","(X)","(X)","(X)","10219","547","6.5","2.0","3.4","1.4","10.5","2.5","9.9","2.3","12.2","3.0","16.1","3.0","19.7","3.7","13.4","2.8","4.6","1.8","3.7","1.7","63136","6776","87911","22866","(X)","(X)","40.5","(X)","(X)","(X)","6646","613","2.5","1.5","0.6","0.6","4.9","2.3","7.2","2.4","9.8","3.0","19.1","4.0","23.5","5.3","20.2","4.2","6.9","2.8","5.3","2.6","80328","6076","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6479","629","19.8","4.1","12.9","3.0","15.3","3.5","10.5","2.9","13.5","2.9","15.7","3.7","4.8","2.2","6.5","3.6","0.8","0.8","0.2","0.5","26492","3653","36617","3870","(X)","(X)","(X)","(X)","44.3","(X)"
"0500000US13011","Banks County, Georgia","6941","202","6.4","2.0","6.6","2.5","12.5","2.9","8.4","1.9","15.4","2.7","20.0","3.2","14.3","2.7","10.1","2.5","3.1","1.3","3.1","1.5","50912","4278","63060","3968","38.3","(X)","(X)","(X)","(X)","(X)","5230","253","4.2","2.2","5.9","2.7","5.5","2.1","7.8","2.0","16.9","3.3","23.9","3.8","16.6","3.3","11.3","3.2","4.1","1.6","3.7","2.0","58969","5897","71001","5102","(X)","(X)","37.0","(X)","(X)","(X)","4317","310","2.6","2.0","5.2","3.4","3.6","1.7","6.0","1.8","17.9","3.7","24.8","4.4","18.0","3.7","12.5","3.8","5.0","1.9","4.5","2.4","66002","3942","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1711","236","14.2","5.3","12.5","4.7","29.9","7.8","10.5","4.5","11.3","4.1","10.8","5.8","5.6","3.1","3.9","3.0","0.5","0.8","0.9","0.9","21416","2256","35363","5691","(X)","(X)","(X)","(X)","41.7","(X)"
"0500000US13013","Barrow County, Georgia","27268","282","4.9","1.1","3.7","0.9","7.7","1.4","9.2","1.3","13.3","1.5","20.6","1.9","15.9","1.8","17.4","1.7","4.3","0.8","3.1","0.8","62990","2562","73827","2789","33.8","(X)","(X)","(X)","(X)","(X)","20634","570","4.7","1.4","2.0","0.6","5.9","1.4","7.2","1.2","11.6","1.7","21.1","2.0","17.9","2.1","20.7","2.1","5.3","0.9","3.6","1.1","71965","2768","81502","3350","(X)","(X)","35.3","(X)","(X)","(X)","15661","627","1.9","0.8","0.7","0.4","3.8","1.3","5.7","1.2","10.2","1.7","21.2","2.4","20.8","2.6","25.0","2.8","6.2","1.1","4.4","1.3","81997","2681","91648","3578","(X)","(X)","(X)","(X)","(X)","(X)","6634","570","8.1","2.2","7.5","2.3","15.9","3.7","16.2","3.3","17.0","3.0","19.4","3.9","9.5","2.5","5.3","1.9","0.3","0.3","0.7","0.7","37105","3694","44884","3118","(X)","(X)","(X)","(X)","27.2","(X)"
"0500000US13015","Bartow County, Georgia","37905","600","6.3","1.4","4.5","1.0","8.6","1.3","8.9","1.4","12.9","1.6","19.5","1.6","14.2","1.7","16.3","1.7","4.5","1.1","4.1","0.8","61226","2631","75076","2946","37.9","(X)","(X)","(X)","(X)","(X)","27822","887","4.4","1.3","2.1","0.7","5.9","1.3","9.4","1.9","11.0","1.6","19.9","2.0","16.6","2.1","19.9","2.1","6.3","1.5","4.6","1.0","70686","3206","84780","3300","(X)","(X)","38.9","(X)","(X)","(X)","20792","985","1.7","0.7","1.4","0.6","4.3","1.2","6.5","1.6","8.8","1.4","20.3","2.3","18.6","2.5","25.0","2.7","7.6","1.9","5.9","1.3","82933","2763","97231","4202","(X)","(X)","(X)","(X)","(X)","(X)","10083","800","13.6","3.7","10.2","2.8","17.9","3.5","10.3","2.5","18.1","3.8","17.1","3.3","6.2","2.2","5.0","1.7","0.2","0.3","1.3","0.7","32852","4883","43251","4546","(X)","(X)","(X)","(X)","32.7","(X)"
"0500000US13017","Ben Hill County, Georgia","6612","294","14.7","3.8","13.1","3.7","13.9","3.7","11.6","2.3","15.9","3.6","13.7","2.7","6.9","1.8","7.7","2.1","1.5","1.0","1.0","0.7","32077","4008","44858","3703","49.9","(X)","(X)","(X)","(X)","(X)","4189","346","9.6","3.7","10.6","4.4","11.5","4.6","13.2","3.4","15.9","4.4","16.1","4.3","9.0","2.5","10.6","3.4","2.2","1.6","1.5","1.1","37293","8823","53327","5410","(X)","(X)","56.5","(X)","(X)","(X)","2443","327","5.4","3.7","5.3","4.4","5.5","2.7","16.3","5.1","15.6","5.0","14.8","4.3","14.0","4.1","17.2","5.4","3.4","2.7","2.6","1.9","52969","8677","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2423","333","24.3","7.1","16.9","5.3","18.6","6.2","9.3","4.1","15.3","5.0","9.6","4.0","3.6","2.6","1.9","2.0","0.3","0.5","0.2","0.4","18862","4443","29407","5628","(X)","(X)","(X)","(X)","38.1","(X)"
"0500000US13019","Berrien County, Georgia","7391","242","11.0","2.7","7.1","2.3","12.4","2.8","12.1","2.4","13.7","2.5","19.5","3.2","11.6","2.2","9.9","2.3","2.0","1.0","0.7","0.5","42089","3198","51959","3238","49.2","(X)","(X)","(X)","(X)","(X)","4941","318","6.3","3.1","4.0","1.9","10.8","3.0","11.6","2.4","14.0","3.1","22.9","3.8","13.3","3.0","13.5","3.1","2.8","1.5","0.9","0.6","52882","3791","60766","4257","(X)","(X)","52.5","(X)","(X)","(X)","3654","262","4.5","3.1","2.8","2.0","6.3","2.7","14.2","3.4","10.9","3.1","25.6","4.7","15.8","3.7","14.9","3.8","3.8","2.0","1.0","0.8","61140","7910","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2450","282","22.9","7.4","13.8","5.5","19.3","6.3","11.6","4.2","10.5","4.3","14.0","4.8","5.3","3.5","1.8","2.2","0.3","0.4","0.5","0.9","19747","4672","30533","4042","(X)","(X)","(X)","(X)","40.6","(X)"
"0500000US13021","Bibb County, Georgia","58154","714","13.5","1.2","6.8","0.8","11.6","0.9","11.4","0.9","13.5","1.0","14.9","1.0","10.2","0.8","10.2","1.2","3.8","0.6","4.0","0.5","41317","1220","63221","2029","42.6","(X)","(X)","(X)","(X)","(X)","34635","1005","8.9","1.3","4.6","0.8","9.2","1.1","10.1","1.2","12.0","1.3","17.0","1.5","12.5","1.2","14.9","1.8","5.2","0.9","5.6","0.7","56802","2255","78068","3011","(X)","(X)","46.2","(X)","(X)","(X)","20568","881","2.2","0.8","1.6","0.9","4.0","0.9","6.6","1.6","10.3","1.6","19.9","2.2","16.3","1.6","21.9","2.8","8.0","1.5","9.0","1.2","81863","4378","105017","4553","(X)","(X)","(X)","(X)","(X)","(X)","23519","1258","21.5","2.3","10.5","1.4","15.6","1.9","13.5","1.5","15.5","1.7","11.7","1.5","5.7","1.1","2.9","0.7","1.7","0.8","1.4","0.5","26538","1462","39116","2267","(X)","(X)","(X)","(X)","36.2","(X)"
"0500000US13023","Bleckley County, Georgia","4250","204","10.6","3.4","5.8","3.0","12.8","4.1","11.3","3.9","12.3","3.4","22.4","4.4","8.9","3.0","12.1","3.1","2.4","1.6","1.5","1.2","46992","6279","55877","5605","39.2","(X)","(X)","(X)","(X)","(X)","3064","223","6.9","3.8","6.1","3.8","10.6","4.5","10.8","4.4","14.1","4.2","20.4","5.2","11.1","4.1","15.4","4.2","2.7","2.1","1.9","1.6","50509","3083","62287","7637","(X)","(X)","37.5","(X)","(X)","(X)","2114","230","2.8","3.1","5.0","4.4","7.0","3.8","9.5","4.3","12.0","4.0","23.2","7.1","14.4","5.8","19.4","5.5","3.9","3.0","2.8","2.3","58643","10998","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1186","227","20.1","8.5","6.6","4.6","18.5","8.1","12.1","7.9","12.4","8.4","22.4","8.0","5.6","4.0","0.3","0.7","1.4","1.7","0.5","0.8","27862","5225","36591","5426","(X)","(X)","(X)","(X)","42.8","(X)"
"0500000US13025","Brantley County, Georgia","6763","297","10.6","3.2","11.8","4.3","19.4","4.2","8.3","3.1","11.6","3.5","15.8","4.3","9.8","3.1","11.0","3.1","1.7","1.3","0.0","0.7","34679","8538","47399","4165","34.2","(X)","(X)","(X)","(X)","(X)","4253","371","6.9","3.4","6.5","3.9","13.6","4.4","6.3","2.7","14.7","5.0","20.2","5.2","12.5","4.1","16.8","4.9","2.6","2.0","0.0","1.1","51919","5257","59722","5227","(X)","(X)","36.0","(X)","(X)","(X)","3294","358","3.6","2.8","7.3","5.0","11.7","5.1","5.1","2.6","15.9","5.9","19.2","5.6","14.9","5.1","18.9","5.5","3.4","2.6","0.0","1.4","59188","5162","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2510","389","19.9","7.2","20.8","8.7","29.3","7.9","11.4","6.1","7.9","3.8","5.2","4.4","4.3","5.0","1.2","2.2","0.0","1.8","0.0","1.8","17835","2215","24165","4905","(X)","(X)","(X)","(X)","30.9","(X)"
